ID,חברה,מס' אתר,עיר,כתובת האתר,רשות מקומית,תחום שיפוט,X_ITM,Y_ITM,סוג אתר,תאריך היתר הקמה,תאריך היתר הפעלה,בדיקה תקופתית אחרונה,היתר קרינה,עוצמה מרבית תיאורטית בµW לסמר,תוצאה מירבית ב% ביחס לסף הבריאות,תאור נקודה בה התקבלה תוצאה מירבית,טכנולוגיית שידור
950,PHI (משרת את הוט ופרטנר),WI6429B,תל אביב,רח` יגאל אלון יד אליהו,עירית תל אביב,תל אביב יפו,180430,663208,אתר זעיר פנימי,04/06/2023,12/11/2023,01/11/2023,יש היתר,5.0,0.89,במפלס הרצפה מול אנטנה כלל כיווני ת במרחק 0.5 מטר,דור  3 4 5
5825,פלאפון,410671,שפרעם,צומת סומך,זבולון,חסר מעמד,214115,745518,תורן קרקעי,15/10/2025,08/01/2023,02/01/2023,יש היתר,1.2,0.264,מבנה חד קומתי 49 מטר ובכיוון 320 מעלות.,דור 3 4 5
4022,סלקום,22075,רמת גן,מגדל אמות אטריום דרך זאב ז`בוטינסקי 2,רמת גן,רמת גן,181408,665544,אתר זעיר פנימי,29/11/2021,18/05/2023,02/01/2023,יש היתר,20.5,4.021,רצפה,דור 4
429,PHI (משרת את הוט ופרטנר),SI5094B,רחובות,אופנהיימר 10,עירית רחובות,רחובות,181888,646419,אתר זעיר פנימי,10/08/2022,19/01/2023,02/01/2023,יש היתר,29.2,5.68,במפלס הרצפה מול אנטנת פנל במרחק 0.5 מטר,דור  3 4
166,PHI (משרת את הוט ופרטנר),WI0946A,בני ברק,דרך בן גוריון 1,עירית בני ברק,בני ברק,183357,667014,אתר זעיר פנימי,26/11/2017,13/02/2023,02/02/2023,יש היתר,38.5,6.84,במפלס הרצפה מול אנטנה דו כיוונית במרחק 0.5 מטר,דור  3 4
7430,פלאפון,540403,בני ברק,דרך בן גוריון בני ברק,בני ברק,בני ברק,183355,667020,אתר זעיר פנימי,27/11/2017,13/02/2023,02/02/2023,יש היתר,38.5,6.842,רמה זו צפויה במפלס הרצפה מול אנטנת פנל במרחק 0.5 מטר ממנה,דור 3 4
5648,סלקום,6257,בני ברק,רח` בן גוריון 1,בני ברק,בני ברק,183350,667031,אתר זעיר פנימי,26/11/2017,19/03/2023,02/02/2023,יש היתר,38.5,6.842,רצפה,דור 3 4
4605,פלאפון,634002,גליל עליון,סמוך לצומת קדרים,מרום הגליל,מרום הגליל,244412,757144,תורן קרקעי,15/12/2022,14/03/2023,02/03/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור 3 4
4345,סלקום,1673,גיתית,כביש אלון,ערבות הירדן,ערבות הירדן,238274,667762,תורן קרקעי,10/11/2021,03/08/2023,02/04/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור 2 3 4
6447,סלקום,6883,יבנה,בסמוך למחלף חולות,יבנה,יבנה,173630,643051,תורן קרקעי,06/03/2023,07/08/2023,02/04/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור 2 3 4
3414,סלקום,66,גני יוחנן,משק מס` 31,גזר,גזר,184358,641014,תורן קרקעי,03/04/2022,30/05/2023,02/04/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור 2 3 4
6557,פלאפון,310630,תל אביב,אינשטיין 40,תל אביב יפו,תל אביב יפו,181005,668895,אתר זעיר פנימי,28/09/2009,01/06/2023,02/05/2023,יש היתר,2.4,0.6,במגדל בקומה 4 מול   אנטנה ליד מעלית,דור 3
8043,סלקום,4395,בית קמה,בין בית קמה לחוות פיליפ,לכיש,לכיש,179322,600818,תורן קרקעי,22/12/2021,22/06/2023,02/05/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור 2 3 4
5509,פלאפון,820225,יסודות,מטה יהודה ירושלים,מטה יהודה,מטה יהודה,188287,634903,תורן קרקעי,24/04/2023,13/07/2023,02/07/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור 3 4 5
5808,פלאפון,410374,קרית אתא,דרך חיפה 57,קרית אתא,קרית אתא,207344,745991,אתר זעיר פנימי,30/11/2014,16/07/2023,02/07/2023,יש היתר,35.3,5.61,מול אנטנה כלל כיוונית במרחק 0.6 מטר ממנה.,דור 3 4
3372,סלקום,2,חולון,מגרש לזרוס  רח` התנאים,חולון,חולון,177344,656836,תורן קרקעי,04/05/2023,19/11/2023,02/07/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור 2 3 4 5
8250,פלאפון,610294,תל דן,על תורן סלקום,גליל עליון,הגליל העליון,262019,793572,תורן קרקעי,03/04/2023,10/08/2023,02/08/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור 3 4 5
2171,PHI (משרת את הוט ופרטנר),NN4024C,אל-רום,מטע תפוחים,מ.א גולן,בוקעתא,272459,788613,תורן קרקעי,22/05/2023,10/08/2023,02/08/2023,יש היתר,.0,0,לא נמצאו אזורים מאוכלסים ברציפות בקרבת האתר,דור  2 3 4
